title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Shape of You,Ed Sheeran,2017,1,"catchy, flirtatious, rhythmic","looped marimba, pop beat","pop, tropical house","[Verse]
The bar was loud, your smile was clear  
I felt the rhythm pull me near  
You talked of life and simple things  
And every word made my heart sing  

[Chorus]
I'm in love with the shape of you  
The way you move, the things you do  
From your laugh to your morning song  
In your arms, where I belong  

[Verse]
We talked all night, we danced till two  
Forgot the world, just me and you  
No diamonds, no parade  
Just a bond that couldn’t fade  

[Bridge]
Your body’s art, but there’s more inside  
You’re the truth I never hide  

[Chorus]
I'm in love with the shape of you  
The way you move, the things you do  
From your laugh to your morning song  
In your arms, where I belong"
Despacito (Remix),Luis Fonsi and Daddy Yankee feat. Justin Bieber,2017,2,"sensual, summery, global","reggaeton beat, smooth vocals",reggaeton-pop,"[Verse]
Slow like waves across the sand  
You take my heart with just one hand  
Whispers fall like velvet rain  
And I forget all of the pain  

[Chorus]
Despacito, pull me close  
Every breath, a holy ghost  
Let me trace your every line  
Take our time, make you mine  

[Verse]
Heat and rhythm, skin to skin  
A paradise we hold within  
One more kiss, don’t let me go  
Teach me love, teach me slow  

[Bridge]
Step by step, we find the light  
Dancing softly through the night  

[Chorus]
Despacito, pull me close  
Every breath, a holy ghost  
Let me trace your every line  
Take our time, make you mine"
That's What I Like,Bruno Mars,2017,3,"luxurious, rhythmic, romantic","R&B rhythm, synths","R&B, pop","[Verse]
Gold on my chain, but your smile shines more  
Penthouse dreams, champagne on the floor  
You got style, I got plans  
Let’s take a trip, just hold my hand  

[Chorus]
That’s what I like, you and me  
Silk and soul, just feelin’ free  
From New York lights to tropic skies  
I give you truth, no disguise  

[Verse]
Strawberries and midnight laughs  
You take the lead, I’ll watch your path  
Whatever you want, it’s yours to take  
No rules tonight, no hearts to break  

[Bridge]
We don’t need the world to see  
As long as you believe in me  

[Chorus]
That’s what I like, you and me  
Silk and soul, just feelin’ free  
From New York lights to tropic skies  
I give you truth, no disguise"
Humble,Kendrick Lamar,2017,4,"raw, dominant, intense","trap beat, sharp delivery",hip hop,"[Verse]
I came from the ground, dirt on my name  
But I rose through the fire, earned my fame  
Now they lookin’ up, prayin’ for light  
But I stayed real, never lost sight  

[Chorus]
Sit down, be humble  
Watch the crown, don’t fumble  
I speak truth, no stumble  
Built this from the rubble  

[Verse]
You flex too hard, but who are you?  
Behind that mask, what’s really true?  
I made mine from scars and sweat  
You still talkin’? Place your bet  

[Bridge]
One mic, one shot, no gimmick  
I live this life, you mimic  

[Chorus]
Sit down, be humble  
Watch the crown, don’t fumble  
I speak truth, no stumble  
Built this from the rubble"
Something Just Like This,The Chainsmokers and Coldplay,2017,5,"hopeful, grand, electronic","EDM drops, male vocals","EDM, pop","[Verse]
I don't need a cape or flight  
Just your hand to hold at night  
Not a legend carved in stone  
Just a heart that calls you home  

[Chorus]
I want something just like this  
Simple moments, stolen kiss  
No galaxies, no epic twist  
Just love, and something just like this  

[Verse]
They wrote stories of ancient kings  
But I find magic in little things  
No battle scars, no sword to wield  
Just a love that’s real and healed  

[Bridge]
Let them chase the stars above  
We’ll stay here and fall in love  

[Chorus]
I want something just like this  
Simple moments, stolen kiss  
No galaxies, no epic twist  
Just love, and something just like this"
God's Plan,Drake,2018,1,"grateful, protective, smooth","minimal beats, melodic rap","hip hop, pop","[Verse]
I been movin' through the silence  
Tryna keep my peace from violence  
People love me, people doubt  
But only one thing I care about  

[Chorus]
God’s plan, I feel it strong  
Even when the path feels wrong  
Every loss, every gain  
It’s all part of God’s plan  

[Verse]
They said I changed, maybe I did  
But still I hustle like that kid  
Gave my heart, took the blame  
Now I walk through fire and flame  

[Bridge]
Didn’t come this far to fold  
Got my story still untold  

[Chorus]
God’s plan, I feel it strong  
Even when the path feels wrong  
Every loss, every gain  
It’s all part of God’s plan"
Perfect,Ed Sheeran,2018,2,"romantic, classic, touching","acoustic guitar, romantic vocals",ballad,"[Verse]
We were just kids when we fell deep  
Now your name is all I keep  
In a song that never ends  
Where lovers grow to best of friends  

[Chorus]
You look perfect, just like now  
You take my breath, don’t ask how  
In this dance, in this light  
I found heaven in your eyes tonight  

[Verse]
Barefoot on that evening sand  
I traced your name with shaky hands  
Through the dark, you were my flame  
And I’ll never love the same  

[Bridge]
Time may fade our golden days  
But I will love you anyway  

[Chorus]
You look perfect, just like now  
You take my breath, don’t ask how  
In this dance, in this light  
I found heaven in your eyes tonight"
Meant to Be,Bebe Rexha feat. Florida Georgia Line,2018,3,"breezy, optimistic, country-tinged","country-pop fusion, duet vocals",country pop,"[Verse]
I don’t know what’s down this road  
But I’ll ride it with you slow  
You and me, just take it day by day  
Let the wind show us the way  

[Chorus]
If it’s meant to be, we’ll find the time  
Every twist, every climb  
No need to rush, no need to see  
Just let it go, if it’s meant to be  

[Verse]
I’ve been hurt, I’ve walked alone  
But with you, it feels like home  
Don’t need a map, don’t need a plan  
Just the touch of your hand  

[Bridge]
We don’t need to know what’s next  
We just take it step by step  

[Chorus]
If it’s meant to be, we’ll find the time  
Every twist, every climb  
No need to rush, no need to see  
Just let it go, if it’s meant to be"
Havana,Camila Cabello feat. Young Thug,2018,4,"seductive, exotic, smooth","Latin rhythms, sultry vocals",Latin pop,"[Verse]
Havana nights, so warm and wild  
Your whisper sweet, your eyes beguiled  
You pulled me close, I couldn’t stay  
Now half my heart’s still far away  

[Chorus]
Havana, ooh na-na  
You stole my heart, then ran so far  
I left my soul under your star  
Havana, that’s where you are  

[Verse]
We danced until the morning light  
You vanished deep into the night  
Now every step and every song  
Reminds me where I don’t belong  

[Bridge]
I tried to leave, but still I know  
You’re the rhythm in my soul  

[Chorus]
Havana, ooh na-na  
You stole my heart, then ran so far  
I left my soul under your star  
Havana, that’s where you are"
rockstar,Post Malone feat. 21 Savage,2018,5,"dark, boastful, trap-infused","trap drums, moody tones","trap, hip hop","[Verse]
Woke up in another dream  
Fast life, lights, and dopamine  
People change like dollar signs  
But I still hustle, still grind  

[Chorus]
I'm a rockstar in my skin  
Fallin’ out, just to win  
Every scar and every fight  
Made me glow beneath the night  

[Verse]
Party wild, but feel alone  
Gold and glass can’t build a home  
But I play it like a king  
For the pain, I let it sing  

[Bridge]
No one sees the fall from grace  
Behind these shades, I hide my face  

[Chorus]
I'm a rockstar in my skin  
Fallin’ out, just to win  
Every scar and every fight  
Made me glow beneath the night"
Old Town Road - Remix,Lil Nas X feat. Billy Ray Cyrus,2019,1,"quirky, genre-blending, bold",trap beat with banjo sample,country trap,"[Intro]
Yeah, I’m gonna take my horse...  

[Verse]
Ridin’ through the desert sun  
Dusty boots and loaded gun  
City lights don’t call my name  
I’m stickin’ close to cowboy fame  

[Chorus]
I got that old town soul, ridin' slow  
No need to run, just let it roll  
Can’t nobody tell me no  
I ride until the moonlight glows  

[Verse]
Leather jacket, gold grill shine  
I mix the west with modern lines  
This ain’t just a country road  
It’s where the beat and stories go  

[Bridge]
Every mile, a tale to tell  
This rebel don’t need no farewell  

[Chorus]
I got that old town soul, ridin' slow  
No need to run, just let it roll  
Can’t nobody tell me no  
I ride until the moonlight glows"
Sunflower,Post Malone and Swae Lee,2019,2,"mellow, vibey, sweet","lo-fi beat, light vocals","hip hop, pop","[Verse]
You’re a light that never fades  
Even when the colors trade  
You bloom in the hardest place  
A gentle fire, a wild grace  

[Chorus]
You're my sunflower, always there  
Even when the sky won’t care  
I try to leave, but you remain  
Soaked in sun, and washed in rain  

[Verse]
You don't say much, but I feel it all  
You catch my tears before they fall  
When the days turn dark and gray  
You find a way to stay  

[Bridge]
You grow where no one dares to try  
That’s why I can’t say goodbye  

[Chorus]
You're my sunflower, always there  
Even when the sky won’t care  
I try to leave, but you remain  
Soaked in sun, and washed in rain"
Without Me,Halsey,2019,3,"raw, emotional, dark","moody synths, solo vocals",electropop,"[Verse]
I built you up from broken parts  
Gave you breath, gave you a heart  
You stood tall, then walked away  
Left me in the storm you made  

[Chorus]
You had it all, because of me  
But now you’re gone, and now I see  
I gave too much, you took too free  
So tell me how it feels without me  

[Verse]
You made me feel like second best  
Then blamed me while you took your rest  
I fought for two, you let it die  
You can’t fake truth behind a lie  

[Bridge]
I was the glue, now you’re unmade  
The price of all the love betrayed  

[Chorus]
You had it all, because of me  
But now you’re gone, and now I see  
I gave too much, you took too free  
So tell me how it feels without me"
Bad Guy,Billie Eilish,2019,4,"sarcastic, moody, playful","bass-heavy, whispered vocals","electropop, alt-pop","[Verse]
I wear my smile just like a blade  
Say the things you're all afraid  
I don’t follow, I don’t ask  
I wear rebellion like a mask  

[Chorus]
I'm the bad guy, can’t deny  
Twist the rules and let them fly  
I don’t blink, I don’t pretend  
I play the game and break the end  

[Verse]
Soft voice, sharp mind  
Every word a warning sign  
You think you’ve read me, but you’re blind  
I’m ten steps ahead of time  

[Bridge]
Don’t mistake my quiet tone  
I rewrite the world alone  

[Chorus]
I'm the bad guy, can’t deny  
Twist the rules and let them fly  
I don’t blink, I don’t pretend  
I play the game and break the end"
Wow,Post Malone,2019,5,"braggadocious, chill, sleek",minimalist trap beat,"hip hop, pop","[Verse]
They said I’d never make it big  
Now I’m pullin’ up in custom whips  
Lookin’ clean, talkin’ slick  
Countin’ wins with every click  

[Chorus]
Wow, yeah, that’s me  
Made a fortune out of grief  
All those nights they laughed and bowed  
Now they stand and scream out loud  

[Verse]
Diamonds flash but I don’t slow  
Still the kid from way below  
Every check a work of art  
Got my hustle set apart  

[Bridge]
What they doubted, now they cheer  
Funny how I made it here  

[Chorus]
Wow, yeah, that’s me  
Made a fortune out of grief  
All those nights they laughed and bowed  
Now they stand and scream out loud"
